treeName,Leaf Type,Leaflet Arrangement ,Leaf grouping,Leaf Edge,Leaf Lobes,Leaf Base,Blade Structure,Leaf Shape,Bark color,Bark Texture,location notes
Tulip Tree,deciduous,pinnately,simple,smooth,TRUE,,,palmate,grey brown,big ridges,very south ontario
Black Oak,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,grey brown black,scales,very south ontario
Bur Oak,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,red grey,big ridges,mid- to south ontario
Pin Oak,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,grey brown,small ridges,niagara falls
Red Oak,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,red grey,small ridges,mid- to south ontario 
Sassafras,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,brown,big ridges,very south ontario
White Oak,deciduous,pinnately,simple,smooth,TRUE,,,sinuate,grey brown,big ridges,south and east ontario
Eastern Flowering Dogwood,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,red brown,scales,very south ontario
Gray Dogwood,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,red brown grey,scales,south and east ontario
Large Cranberry,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,red brown,smooth,south ontario
Red Osier Dogwood,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,red,smooth,all ontario
Chokecherry,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,grey brown,smooth,all ontario
American Hop Hornbeam,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,grey brown,small ridges,south ontario
Cucumber Magnolia,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,oval,grey brown,small ridges,niagara falls
Eastern Redbud,deciduous,pinnately,simple,smooth,FALSE,symmetrical,broad,heart,red brown,small ridges,nowhere
Pawpaw,deciduous,pinnately,simple,smooth,FALSE,symmetrical,narrow,,grey,smooth,very south ontario
Pussy Willow,deciduous,pinnately,simple,smooth,FALSE,symmetrical,narrow,,grey brown,small ridges,all ontario
Satiny Willow,deciduous,pinnately,simple,smooth,FALSE,symmetrical,narrow,,red brown,smooth,nowhere
American Witch-Hazel,deciduous,pinnately,simple,smooth,FALSE,asymmetrical,,,grey brown,smooth,south and east ontario
