treeName,Leaf Type,Leaflet Arrangement ,Leaf grouping,Leaf Edge+LE1:L43,Leaf Lobes,Leaf Base,Blade Structure,Leaf Shape,Needles/scales,needles in bunch,Bark color,Bark Texture,location notes
Tulip Tree,deciduous,pinnately,simple,smooth,1,,,palmate,,,grey brown,big ridges,very south ontario
Black Oak,deciduous,pinnately,simple,smooth,1,,,sinuate,,,grey brown black,scales,very south ontario
Bur Oak,deciduous,pinnately,simple,smooth,1,,,sinuate,,,red grey,big ridges,mid- to south ontario
Pin Oak,deciduous,pinnately,simple,smooth,1,,,sinuate,,,grey brown,small ridges,very south ontario
Red Oak,deciduous,pinnately,simple,smooth,1,,,sinuate,,,red grey,small ridges,mid- to south ontario 
Sassafras,deciduous,pinnately,simple,smooth,1,,,sinuate,,,brown,big ridges,very south ontario
White Oak,deciduous,pinnately,simple,smooth,1,,,sinuate,,,grey brown,big ridges,south east ontario
Eastern Flowering Dogwood,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,red brown,scales,very south ontario
Gray Dogwood,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,red brown grey,scales,south east ontario
Large Cranberry,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,red brown,smooth,south ontario
Red Osier Dogwood,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,red,smooth,all ontario
Chokecherry,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,grey brown,smooth,all ontario
American Hop Hornbeam,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,grey brown,small ridges,south ontario
Cucumber Magnolia,deciduous,pinnately,simple,smooth,0,symmetrical,broad,oval,,,grey brown,small ridges,very south ontario
Eastern Redbud,deciduous,pinnately,simple,smooth,0,symmetrical,broad,heart,,,red brown,small ridges,north ontario
Pawpaw,deciduous,pinnately,simple,smooth,0,symmetrical,narrow,,,,grey,smooth,very south ontario
Pussy Willow,deciduous,pinnately,simple,smooth,0,symmetrical,narrow,,,,grey brown,small ridges,all ontario
Satiny Willow,deciduous,pinnately,simple,smooth,0,symmetrical,narrow,,,,red brown,smooth,nowhere
American Witch-Hazel,deciduous,pinnately,simple,smooth,0,asymmetrical,,,,,grey brown,smooth,south east ontario
Amur Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,grey,scales,south ontario
Black Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,black grey,smooth,all ontario
Highbush Cranberry,deciduous,pinnately,simple,rough,1,,,palmate,,,grey,small ridges,north ontario
Mountain Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,green grey red,smooth,north west ontario
Norway Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,grey,small ridges,south ontario
Red Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,grey brown,smooth,south ontario
Silver Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,grey,big ridges,mid- to south ontario 
Striped Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,green brown,smooth,mid- to south ontario 
Sugar Maple,deciduous,pinnately,simple,rough,1,,,palmate,,,grey,big ridges,south ontario
Alternate Leaf Dogwood,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,red brown,small ridges,south ontario
American Beech,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,silver grey,smooth,mid- to south ontario 
American Chestnut,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,brown,big ridges,south west ontario
American Plum,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,red brown,smooth,south ontario
Balsam Poplar,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,scales,all ontario
Blue Beech,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,smooth,south ontario
Canada Plum,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey brown,scales,very south ontario
Common Pear,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,brown,scales,south ontario
Downy Serviceberry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,blue grey,smooth,south west ontario
Garden plum,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,scales,south ontario
Green Alder,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,red brown grey,smooth,north west ontario
Mountain Juneberry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,small ridges,north west ontario
Pin Cherry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,red brown,smooth,all ontario
Sand Cherry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey brown,smooth,all ontario
Smooth Serviceberry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,smooth,south ontario
Sour Cherry,deciduous,pinnately,simple,rough,0,symmetrical,broad,oval,,,grey,smooth,all ontario
